Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
Demande d'autorisation d'exploiter une usine de fabrication de contenants en plastique par la société PLASTIC OMNIUM SYSTEMES URBAINS à LANGRES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Plastic Omnium Systèmes Urbains;Société Plastic Omnium Systèmes Urbains;;CGDD - MTES;2007-08-20T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Carrière - Poursuite et extension;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS LEROUX-PHILIPPE;SAS LEROUX-PHILIPPE;;CGDD - MTES;2012-09-14T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une carrière à ciel ouvert de roches cristallines avec installations de concassage criblage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS CERF;SAS CERF;;CGDD - MTES;2008-12-30T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
création d'une plate-forme de conditionnement et de valorisation de sous produits de l'industrie du sciage et de l'exploitation forestière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;C2R DOUELLES DE FRANCE;C2R DOUELLES DE FRANCE;;CGDD - MTES;2009-11-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'installations classées au sein d'une usine de fabrication de tôlerie de précision;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société RESISTARC S.A.S.;Société RESISTARC S.A.S.;;CGDD - MTES;2012-10-04T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
ZAC de l'Ile des Bois à SAINT-Gilles;;Création de ZAC;URBANISME ET CONSTRUCTION;Fermé;Déclaration d'utilité publique (DUP);sadiv;sadiv;;CGDD - MTES;2008-06-03T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'un établissement de conception et de fabrication de mobilier destiné aux collectivités par la société Delagrave;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Delagrave;Société Delagrave;;CGDD - MTES;2010-04-19T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
aménagement du quartier du Parc;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);Etablissement Public Foncier Provence-Alpes-Côte d'Azur;Etablissement Public Foncier Provence-Alpes-Côte d'Azur;;CGDD - MTES;2009-06-09T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Elevage canin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Patrick RAUZY;Patrick RAUZY;;CGDD - MTES;2008-12-30T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Restructuration externe d'un élevage de porcs;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA ROUZIC;SCEA ROUZIC;;CGDD - MTES;2011-09-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Projet éolien;;Eoliennes;ÉNERGIE;Fermé;Autorisation au titre du code de l'environnement;Ferme éolienne La Roche SAS;Ferme éolienne La Roche SAS;;CGDD - MTES;2012-12-21T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
SCL du ponthieu;;Installations classées;ENVIRONNEMENT;Fermé;Autre;scl du ponthieu;scl du ponthieu;;CGDD - MTES;2015-02-04T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation usine de fabrication de chips de pommes de terre;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SIBELL;SIBELL;;CGDD - MTES;2011-11-23T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Parc éolien de Viersat;;Eoliennes;ÉNERGIE;Fermé;Permis de construire;Société Centrale Eolienne de Viersat;Société Centrale Eolienne de Viersat;;CGDD - MTES;2015-08-25T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
aménagement de la ZAC des Ebaudières;;Création de ZAC;URBANISME ET CONSTRUCTION;Fermé;Autorisation au titre du code de l'environnement;Société Immobilère des Environs de Laval;Société Immobilère des Environs de Laval;;CGDD - MTES;2008-04-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorissation de poursuivre l'exploitation de la carrière de matériaux calcaires (Carrières de Saint Pierre Aigle);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Carrière de Saint-Pierre-Aigle;Carrière de Saint-Pierre-Aigle;;CGDD - MTES;2009-03-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Carrière - poursuite et extension exploitation;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS HARDY;SAS HARDY;;CGDD - MTES;2012-09-28T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
sca noriap;;Installations classées;ENVIRONNEMENT;Fermé;Autre;sca noriap;sca noriap;;CGDD - MTES;2015-02-04T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Regroupement de sites d'élevage et extension élevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA BARON;SCEA BARON;;CGDD - MTES;2017-03-24T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Artifices de divertissement (dépôt pyrotechnique);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL SLAM COMMUNICATION;SARL SLAM COMMUNICATION;;CGDD - MTES;2007-05-23T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Demande d'autorisation d'exploiter, après regroupement, de deux exploitations, un élevage avicole comprenant 112500 poulets de chai, soit 112500 animaux équivalents;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL COCORICO;EARL COCORICO;;CGDD - MTES;2016-09-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploiter une carrière à Martot et Criquebeuf sur Seine par la socité Parisienne des Sablières;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SPS Société Parisienne des Sablières;SPS Société Parisienne des Sablières;;CGDD - MTES;2008-09-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Parc éolien du Ternois Sud: 6 éoliennes;;Eoliennes;ÉNERGIE;Fermé;Permis de construire;ENERTRAG;ENERTRAG;;CGDD - MTES;2008-08-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
QUAI DE TRANSFERT POUR MATERIAUX ISSUS DE LA COLLECTE SELECTIVE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SITOM DE L'OISANS;SITOM DE L'OISANS;;CGDD - MTES;2008-11-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'exploiter une plate-forme logistique  déposée par la société GSE (groupe sud engineering) à PERROGNEY LES FONTAINES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société GSE (Groupe Sud Engineering);Société GSE (Groupe Sud Engineering);;CGDD - MTES;2007-03-29T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
PARC EOLIEN DES CABANELLES;;Eoliennes;ÉNERGIE;Fermé;Permis de construire;LA COMPAGNIE DU VENT filiale de GDF SUEZ;LA COMPAGNIE DU VENT filiale de GDF SUEZ;;CGDD - MTES;2012-12-21T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'une installationde recyclage de matériaux inertes;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Societé VORGER T.P.;Societé VORGER T.P.;;CGDD - MTES;2008-12-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
UNITE DE COLLECTE, TRI, REGROUPEMENT ET BROYAGE DE PNEUMATIQUES USAGES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;RECYGOM;RECYGOM;;CGDD - MTES;2012-06-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
"Arrêté autorisant la société GEPRIM à exploiter un bâtiment n°7 à usage d'entrepôt  Zone d'Activités ""Les Trois Arches"" à VENNECY";;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GEPRIM;GEPRIM;;CGDD - MTES;2012-09-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Implantation d'une centrale photovoltaïque au sol à LÉPAUD;;Constructions soumises à permis de construire;URBANISME ET CONSTRUCTION;Fermé;Permis de construire;SARL KER LÉPAUD CENTRALE SOLAIRE DE LÉPAUD;SARL KER LÉPAUD CENTRALE SOLAIRE DE LÉPAUD;;CGDD - MTES;2013-06-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter une installation de récupération de déchets métalliques et un centre de traitement de véhicules hors d'usage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;AUDERMATTE SARL;AUDERMATTE SARL;;CGDD - MTES;2012-10-04T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Arrêté autorisant la SARL AVICOLE DE L'ETANG, représentée par Mrs SOURON, à procéder à l'extension et à régulariser la situation administrative de l'élevage de volailles qu'elle exploite sur le territoire de la commune de LA COUR MARIGNY.;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL AVICOLE DE L'ETANG;SARL AVICOLE DE L'ETANG;;CGDD - MTES;2012-09-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Reconstruction du pont sur la Tave et raccordement à la RN 580 à LAUDUN L'ARDOISE;;Voirie routière;TRANSPORTS;Fermé;Déclaration d'utilité publique (DUP);direction départementale de l'équipement;direction départementale de l'équipement;;CGDD - MTES;2008-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
fabrication de cartons d'emballages;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCA EMBALLAGE;SCA EMBALLAGE;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Implantation d'une éolienne (T10).;;Eoliennes;ÉNERGIE;Fermé;Permis de construire;EOLE-RES SA;EOLE-RES SA;;CGDD - MTES;2010-02-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
carrière d'argile;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;société CORBET Terres Cuites;société CORBET Terres Cuites;;CGDD - MTES;2014-04-08T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
ELEVAGE DE VOLAILLES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL ELEVAGE DE VOLAILLES;EARL ELEVAGE DE VOLAILLES;;CGDD - MTES;2010-07-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Etablissement de stockage d'engins de travaux publics, récupération, démontage et stockage de pièces détachées;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;CODIMATRA SAS;CODIMATRA SAS;;CGDD - MTES;2012-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'un chenil et refuge pour animaux;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SPA de SELESTAT et Moyenne Alsace;SPA de SELESTAT et Moyenne Alsace;;CGDD - MTES;2009-03-24T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Carrière - poursuite et extension;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EURL SABCO;EURL SABCO;;CGDD - MTES;2012-09-14T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
renouvellement d'autorisation d'exploiter et d'exrension d'une carrière d'ardoise pour une durée de 30 ans;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL ARDOISIERES DU FANGLE GROROD;SARL ARDOISIERES DU FANGLE GROROD;;CGDD - MTES;2007-08-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Création d'un centre d'expositions, de séminaires, et de congrès sur les communes d'Annecy et d'Annecy-Le-Vieux;;Constructions soumises à permis de construire;URBANISME ET CONSTRUCTION;Fermé;Déclaration d'utilité publique (DUP);Communauté de l'agglomération d'Annecy;Communauté de l'agglomération d'Annecy;;CGDD - MTES;2016-12-09T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Station d'épuration;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS ELVIR;SAS ELVIR;;CGDD - MTES;2014-03-13T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
SAS GSM;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS GSM;SAS GSM;;CGDD - MTES;2013-01-10T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Régularisation et extension d'un élevage de vaches laitières;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC J-RAL DE KERVANNES;GAEC J-RAL DE KERVANNES;;CGDD - MTES;2009-03-24T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élvage de porcs;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA DE MAUFFRAY;SCEA DE MAUFFRAY;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Fabrication de clôtures métalliques;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EUROFENCE;EUROFENCE;;CGDD - MTES;2012-02-10T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'exploiter une installation de transit et de traitement des déchets et de traitement de véhicules hors d'usage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société EVN Franche-Comté;Société EVN Franche-Comté;;CGDD - MTES;2016-09-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage de vaches laitières;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DES CHARMES;GAEC DES CHARMES;;CGDD - MTES;2010-07-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Poulailler - extension;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL TOSTAIN;EARL TOSTAIN;;CGDD - MTES;2013-02-01T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
réalisation d'une station de distribution de carburant;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;AUCHAN;AUCHAN;;CGDD - MTES;2009-02-02T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation de carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS DIDIER;SAS DIDIER;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
augmentation de la capacité de production d'acier liquide;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société WHEELABRATOR ALLEVARD;Société WHEELABRATOR ALLEVARD;;CGDD - MTES;2011-09-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Opération de restructuration du site d'activités Pierre et Marie Curie;;Voirie routière;TRANSPORTS;Fermé;Déclaration d'utilité publique (DUP);Communauté d'Agglomération de Tour(s) Plus;Communauté d'Agglomération de Tour(s) Plus;;CGDD - MTES;2008-07-08T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Mise aux normes d'un élevage de volailles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;M. Roger NATAIL;M. Roger NATAIL;;CGDD - MTES;2010-09-20T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage bovin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;LE BERRE Stéphane;LE BERRE Stéphane;;CGDD - MTES;2011-09-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une centrale d'enrobage à chaud.;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société APL Enrobage;Société APL Enrobage;;CGDD - MTES;2009-09-03T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
centrale d'enrobage à chaud;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.A.S. LAFARGE GRANULATS OUEST;S.A.S. LAFARGE GRANULATS OUEST;;CGDD - MTES;2010-09-20T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
établissement de traitement de surface;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EURL MOREAU MICHEL;EURL MOREAU MICHEL;;CGDD - MTES;2010-11-08T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
SARL MASSET;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société MASSET;Société MASSET;;CGDD - MTES;2009-02-02T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage de porcs;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;M. Michel VIGOUROUX;M. Michel VIGOUROUX;;CGDD - MTES;2011-04-15T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
PIAUT DOMINIQUE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;PIAUT DOMINIQUE;PIAUT DOMINIQUE;;CGDD - MTES;2010-11-08T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'injection des purges saturées en sels minéraux dans des cavités salines ( ICPE 2015-0230);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Cie des Salins du Midi et des Salines de l'Est;Cie des Salins du Midi et des Salines de l'Est;;CGDD - MTES;2016-07-28T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
